GameID,Title,Max Players,Review Score,Sales,Price,Category,Year
159,Pokmon Diamond,1,85,6.77,27.95,E,2006
160,Pokmon Pearl,1,85,6.77,26.95,E,2006
161,Gears of War,2,94,3.7,19.95,M,2006
162,The Legend of Zelda: Twilight Princess,1,95,3.33,39.95,M,2006
163,Cooking Mama,1,67,2.9,17.95,M,2006
164,Marvel Ultimate Alliance,4,82,2.42,14.95,T,2006
165,Daxter,1,85,2.38,14.95,T,2006
166,The Elder Scrolls IV: Oblivion,1,94,2.12,19.95,E,2006
167,Madden NFL 07,2,80,1.77,4.95,E,2006
168,Grand Theft Auto: Vice City Stories,1,86,1.72,17.95,E,2006
169,Resistance: Fall of Man,4,86,1.61,19.95,E,2006
170,MotorStorm,1,82,1.58,16.95,T,2006
171,Call of Duty 3,2,82,1.51,16.95,T,2006
172,Yoshi's Island DS,1,81,1.49,27.95,E,2006
173,Tom Clancy's Ghost Recon: Advanced Warfighter,4,90,1.46,14.95,E,2006
174,Fight Night Round 3,2,86,1.4,14.95,E,2006
175,Pokmon Ranger,1,69,1.36,19.95,E,2006
176,Rayman Raving Rabbids,4,76,1.26,17.95,T,2006
177,Saints Row,1,81,1.23,14.95,T,2006
178,Tom Clancy's Rainbow Six: Vegas,2,88,1.19,14.95,E,2006
179,Dead Rising,1,85,1.16,16.95,E,2006
180,Call of Duty 3,1,69,1.15,19.95,E,2006
181,Lost Planet: Extreme Condition,1,79,1.15,12.95,M,2006
182,Mario Hoops 3 on 3,1,69,1.03,22.95,M,2006
183,LEGO Star Wars II: The Original Trilogy,1,47,1.02,17.95,E,2006
184,Super Monkey Ball: Banana Blitz,4,74,1,14.95,T,2006
185,The Sims 2: Pets,1,49,0.97,14.95,T,2006
186,Need for Speed: Carbon - Own the City,1,73,0.93,16.95,E,2006
187,WarioWare: Smooth Moves,6,83,0.9,39.95,T,2006
188,Fight Night Round 3,2,83,0.86,13.95,T,2006
189,Final Fantasy III,1,77,0.86,17.95,E,2006
190,SOCOM: U.S. Navy SEALs - Fireteam Bravo 2,1,81,0.86,16.95,E,2006
191,Madden NFL 07,1,78,0.83,9.95,E,2006
192,Monster 4x4: World Circuit,4,51,0.82,12.95,E,2006
193,Kirby: Squeak Squad,1,71,0.82,27.95,T,2006
194,Pokmon Battle Revolution,4,53,0.81,39.95,T,2006
195,Medal of Honor: Heroes,1,71,,14.95,E,2006
196,Tekken: Dark Resurrection,1,88,0.81,17.95,E,2006
197,Need for Speed: Carbon,2,77,0.78,16.95,E,2006
198,Mario vs. Donkey Kong 2: March of the Minis,1,76,0.77,27.95,T,2006
199,Sonic Rivals,1,64,0.76,17.95,T,2006
200,NCAA Football 07,2,79,0.7,4.95,E,2006
201,Mortal Kombat: Unchained,2,70,0.67,17.95,E,2006
202,Tom Clancy's Splinter Cell: Double Agent,1,85,0.67,17.95,E,2006
203,Tetris DS,1,84,0.66,17.95,M,2006
204,LEGO Star Wars II: The Original Trilogy,2,83,0.61,17.95,T,2006
205,Red Steel,4,63,0.58,14.95,T,2006
206,Metroid Prime: Hunters,1,85,0.58,27.95,E,2006
207,LEGO Star Wars II: The Original Trilogy,2,81,0.57,14.95,E,2006
208,NBA 2K7 ,1,84,0.56,4.95,E,2006
209,SEGA Genesis Collection,2,82,0.55,17.95,T,2006
210,Call of Duty 3,1,80,0.52,19.95,T,2006
211,NBA Live 07,1,64,0.51,7.95,E,2006
212,Madden NFL 07,2,76,0.49,6.95,T,2006
213,SpongeBob SquarePants: The Yellow Avenger,1,48,0.49,12.95,T,2006
214,Madden NFL 07,4,81,0.48,9.95,E,2006
215,Fight Night Round 3,2,74,0.48,16.95,T,2006
216,Need for Speed: Carbon,2,75,0.47,17.95,T,2006
217,Need for Speed: Carbon,2,67,0.47,17.95,M,2006
218,WWE SmackDown vs. Raw 2007,4,81,0.45,12.95,E,2006
219,Tiger Woods PGA Tour 07,1,80,0.45,9.95,T,2006
220,Viva Pi$?ata,4,84,0.44,16.95,E,2006
221,SpongeBob Squarepants: Creature from the Krusty Krab,1,57,0.44,14.95,T,2006
222,Tony Hawk's Project 8,2,68,0.42,17.95,M,2006
223,Tony Hawk's Project 8,2,81,0.42,16.95,E,2006
